NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Completion Date
NCT01753089,Dendritic Cell Activating Scaffold in Melanoma,https://clinicaltrials.gov/study/NCT01753089,ACTIVE_NOT_RECRUITING,Melanoma,BIOLOGICAL: WDVAX,Dana-Farber Cancer Institute,,INTERVENTIONAL,2024-12-31
NCT00458536,Vaccination of Patients With Renal Cell Cancer With Dendritic Cell Tumor Fusions and GM-CSF,https://clinicaltrials.gov/study/NCT00458536,COMPLETED,Renal Cancer,BIOLOGICAL: Dendritic Cell Tumor Fusion Vaccine|DRUG: Granulocyte Macrophage Colony Stimulating Factor (GM-CSF),Beth Israel Deaconess Medical Center,National Cancer Institute (NCI)|Dana-Farber Cancer Institute,INTERVENTIONAL,2023-07
NCT00005956,Biological Therapy in Treating Patients With Advanced Cancer,https://clinicaltrials.gov/study/NCT00005956,COMPLETED,Breast Cancer|Gastric Cancer|Ovarian Cancer,BIOLOGICAL: HER-2/neu intracellular domain protein|BIOLOGICAL: therapeutic autologous dendritic cells,Duke University,National Cancer Institute (NCI),INTERVENTIONAL,2002-07
NCT04627246,Personalized Vaccine With SOC Chemo Followed by Nivo in Pancreatic Cancer,https://clinicaltrials.gov/study/NCT04627246,RECRUITING,Pancreatic Adenocarcinoma,BIOLOGICAL: Autologous Dendritic Cell Vaccine Loaded with Personalized Peptides (PEP-DC vaccine),Centre Hospitalier Universitaire Vaudois,,INTERVENTIONAL,2028-09
NCT05304208,dENdritic Cell Therapy Combined With SURgEry in Mesothelioma,https://clinicaltrials.gov/study/NCT05304208,RECRUITING,Mesotheliomas Pleural,BIOLOGICAL: Mesopher,Erasmus Medical Center,,INTERVENTIONAL,2025-12-31
NCT01993004,Immune Regulation in Multiple Sclerosis: The Effect of Glatiramer Acetate on MicroRNA Expression in Antigen-Presenting Cells,https://clinicaltrials.gov/study/NCT01993004,COMPLETED,Multiple Sclerosis,,"Rutgers, The State University of New Jersey",,OBSERVATIONAL,2015-12
NCT00365872,External Beam Radiation With Intratumoral Injection of Dendritic Cells As Neo-Adjuvant Treatment for Sarcoma,https://clinicaltrials.gov/study/NCT00365872,COMPLETED,Soft Tissue Sarcoma,BIOLOGICAL: Dendritic Cell (DC) Injections|PROCEDURE: Radiation therapy|PROCEDURE: Complete Resection - Surgery for tumor removal,H. Lee Moffitt Cancer Center and Research Institute,Cancer Treatment Research Foundation,INTERVENTIONAL,2012-06
NCT02903537,Tolerogenic Dendritic Cells as a Therapeutic Strategy for the Treatment of Multiple Sclerosis Patients (TOLERVIT-MS),https://clinicaltrials.gov/study/NCT02903537,RECRUITING,"Multiple Sclerosis, Relapsing-Remitting|Multiple Sclerosis, Chronic Progressive",DRUG: Autologous VitD3 tolerogenic monocyte-derived dendritic cells loaded with a pool of myelin peptides (tolDC-VitD3)|DRUG: Interferon-beta,Fundació Institut Germans Trias i Pujol,"Clinica Universidad de Navarra, Universidad de Navarra",INTERVENTIONAL,2023-12
NCT06342908,A Vaccine (Neoantigen-Targeted ppDC) for the Treatment of H3 G34-mutant Diffuse Hemispheric Glioma,https://clinicaltrials.gov/study/NCT06342908,NOT_YET_RECRUITING,"Diffuse Hemispheric Glioma, H3 G34-Mutant",PROCEDURE: Biospecimen Collection|BIOLOGICAL: Dendritic Cell Therapy|PROCEDURE: Leukapheresis|PROCEDURE: Magnetic Resonance Imaging|DRUG: Poly ICLC,Jonsson Comprehensive Cancer Center,,INTERVENTIONAL,2028-01-09
NCT01204684,Dendritic Cell Vaccine for Patients With Brain Tumors,https://clinicaltrials.gov/study/NCT01204684,COMPLETED,Glioma|Anaplastic Astrocytoma|Anaplastic Astro-oligodendroglioma|Glioblastoma,BIOLOGICAL: autologous tumor lysate-pulsed DC vaccination|BIOLOGICAL: Tumor lysate-pulsed DC vaccination+0.2% resiquimod|BIOLOGICAL: Tumor-lysate pulsed DC vaccination +adjuvant polyICLC,Jonsson Comprehensive Cancer Center,,INTERVENTIONAL,2024-08-21
NCT04208919,Delayed Infusion of DCreg in Living Donor Liver Transplantation,https://clinicaltrials.gov/study/NCT04208919,ACTIVE_NOT_RECRUITING,Living Donor Liver Transplantation,BIOLOGICAL: Donor-derived DCreg,Angus W. Thomson PhD DSc,,INTERVENTIONAL,2026-06
NCT00322959,Tai-Chi-Chuan on Differentiation and Maturation of Dendritic Cells,https://clinicaltrials.gov/study/NCT00322959,COMPLETED,Immunity,,Mackay Memorial Hospital,,OBSERVATIONAL,2006-11
NCT03803397,Arm 1: Lysate Pulsed Dendritic Cells (PV-001-DC) in Patients With Melanoma,https://clinicaltrials.gov/study/NCT03803397,NOT_YET_RECRUITING,Metastatic Melanoma,BIOLOGICAL: PV-001-DC,PrimeVax Immuno-Oncology Inc.,,INTERVENTIONAL,2024-12-31
NCT00512889,Adoptive Transfer of MART1/Melan-A CTL for Malignant Melanoma,https://clinicaltrials.gov/study/NCT00512889,COMPLETED,Melanoma (Skin),BIOLOGICAL: therapeutic autologous lymphocytes|GENETIC: Use of an artificial antigen presenting cell (aAPC) to generate CTL|DRUG: GM-CSF|RADIATION: Irradiation of cutaneous tumor lesion,Dana-Farber Cancer Institute,,INTERVENTIONAL,2013-01
NCT06296056,Phase I Study of Combined Immune Cell Therapy in Patients With Stage 4 Colorectal Cancer With Metastatic Lesion Who Failed Prior Standard of Care,https://clinicaltrials.gov/study/NCT06296056,NOT_YET_RECRUITING,Colorectal Cancer Stage IV|Metastatic Colorectal Cancer,BIOLOGICAL: Combi,Nyamdavaa Tuul,,INTERVENTIONAL,2027-06-01
NCT03035331,"Dendritic Cell Therapy, Cryosurgery, and Pembrolizumab in Treating Patients With Non-Hodgkin Lymphoma",https://clinicaltrials.gov/study/NCT03035331,ACTIVE_NOT_RECRUITING,Aggressive Non-Hodgkin Lymphoma|Indolent Non-Hodgkin Lymphoma|Recurrent Diffuse Large B-Cell Lymphoma|Recurrent Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Non-Hodgkin Lymphoma|Recurrent Primary Mediastinal (Thymic) Large B-Cell Lymphoma|Recurrent T-Cell Non-Hodgkin Lymphoma|Small Lymphocytic Lymphoma,PROCEDURE: Cryosurgery|BIOLOGICAL: Dendritic Cell Therapy|OTHER: Laboratory Biomarker Analysis|BIOLOGICAL: Pembrolizumab|BIOLOGICAL: Pneumococcal 13-valent Conjugate Vaccine|OTHER: Quality-of-Life Assessment,Mayo Clinic,National Cancer Institute (NCI),INTERVENTIONAL,2025-08
NCT04619017,Airway Immune Response to Allergens (Use Lay Language Here),https://clinicaltrials.gov/study/NCT04619017,ACTIVE_NOT_RECRUITING,Allergic Asthma|Allergy to Cats|Allergy to Dust Mites|Allergic Rhinitis|Allergic Conjunctivitis,BIOLOGICAL: Segmental allergen challenge,JOSALYN CHO,Massachusetts General Hospital,INTERVENTIONAL,2024-03-01
NCT03416543,Effect of a New BI-specifiC Antibody Towards Dendritic Cells on Inflammation in Rheumatoid Arthritis,https://clinicaltrials.gov/study/NCT03416543,COMPLETED,Rheumatoid Arthritis|Gout|Osteoarthritis,OTHER: Puncture,"University Hospital, Tours",,OBSERVATIONAL,2021-12-08
NCT02049489,A Study of ICT-121 Dendritic Cell Vaccine in Recurrent Glioblastoma,https://clinicaltrials.gov/study/NCT02049489,COMPLETED,Glioblastoma Multiforme,BIOLOGICAL: ICT-121 DC vaccine,Precision Life Sciences Group,,INTERVENTIONAL,2017-03
NCT00923351,"Therapy to Treat Ewing's Sarcoma, Rhabdomyosarcoma or Neuroblastoma",https://clinicaltrials.gov/study/NCT00923351,COMPLETED,"Neuroblastoma|Sarcoma|Rhabdomyosarcoma-Embryonal|Rhabdomyosarcoma- Alveolar|Neuroectodermal Tumors, Primitive, Peripheral",DRUG: Tumor Purged/CD25 Depleted Lymphocytes|BIOLOGICAL: Tumor Purged/CD25 Depleted Lymphocytes with Tumor Lysate/KLH Pulsed Dendritic Cell Vaccine|DRUG: rhIL-7|BIOLOGICAL: Tumor Lysate/KLH Pulsed Dendritic Cell Vaccine,National Cancer Institute (NCI),,INTERVENTIONAL,2018-05-15
NCT05799612,Phase I Study of TH1 Dendritic Cell Immunotherapy for the Treatment of Cutaneous Angiosarcoma,https://clinicaltrials.gov/study/NCT05799612,RECRUITING,Angiosarcoma,DRUG: Paclitaxel|BIOLOGICAL: mRNA plus Lysate-loaded Dendritic Cell Vaccine|DRUG: PEGYLATED-INTERFERON ALPHA-2A|DRUG: Filgrastim,M.D. Anderson Cancer Center,Cancer Cures 4 Kids,INTERVENTIONAL,2029-12-31
NCT05430971,Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN) International Registry,https://clinicaltrials.gov/study/NCT05430971,RECRUITING,Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN),,Immune Oncology Research Institute,,OBSERVATIONAL,2032-07
NCT01876212,Dendritic Cell Vaccines + Dasatinib for Metastatic Melanoma,https://clinicaltrials.gov/study/NCT01876212,COMPLETED,Metastatic Melanoma,BIOLOGICAL: DC vaccine|DRUG: Dasatinib,Walter J. Storkus,National Cancer Institute (NCI),INTERVENTIONAL,2019-07-31
NCT00639639,Vaccine Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme,https://clinicaltrials.gov/study/NCT00639639,COMPLETED,Malignant Neoplasms of Brain,BIOLOGICAL: tetanus toxoid|BIOLOGICAL: therapeutic autologous dendritic cells|BIOLOGICAL: therapeutic autologous lymphocytes,Gary Archer Ph.D.,National Cancer Institute (NCI),INTERVENTIONAL,2022-06-01
NCT03384914,Vaccine to Prevent Recurrence in Patients With HER-2 Positive Breast Cancer,https://clinicaltrials.gov/study/NCT03384914,ACTIVE_NOT_RECRUITING,"Breast Cancer Female|Breast Cancer, Male|Breast Cancer Stage I|Breast Cancer Stage II|Breast Cancer Stage III|Residual Disease|HER2-positive Breast Cancer|HER2 Positive Breast Carcinoma",BIOLOGICAL: DC1 Vaccine|BIOLOGICAL: WOKVAC Vaccine,H. Lee Moffitt Cancer Center and Research Institute,United States Department of Defense,INTERVENTIONAL,2026-12
NCT00723242,The Role of Dendritic Cells in Hepatitis C Infection,https://clinicaltrials.gov/study/NCT00723242,COMPLETED,Chronic Hepatitis C Infection,DRUG: Viraferon-peg and Rebetol,"University College, London",Schering-Plough,INTERVENTIONAL,2004-12
NCT00311272,Dendritic Cell Vaccination in Patients With Advanced Colorectal Cancer,https://clinicaltrials.gov/study/NCT00311272,COMPLETED,Colorectal Neoplasms,BIOLOGICAL: MelCancerVac,"University Hospital, Gentofte, Copenhagen",,INTERVENTIONAL,2007-09
NCT00468182,Modulation of Plasmacytoid Dendritic Cell Function in Multiple Sclerosis,https://clinicaltrials.gov/study/NCT00468182,COMPLETED,Multiple Sclerosis,DRUG: Interferon-beta 1b (Betaseron),"Rutgers, The State University of New Jersey",Bayer,OBSERVATIONAL,2011-12
NCT00074230,Vaccine Therapy in Treating Patients With Stage IV Cutaneous Melanoma,https://clinicaltrials.gov/study/NCT00074230,COMPLETED,Melanoma (Skin),"BIOLOGICAL: Autologous Dendritic Cells loaded with MAGE-A3, MelanA and Survivin",University Hospital Erlangen,,INTERVENTIONAL,2014-03
NCT03974971,Blastic Plasmacytoid Dendritic Cell Neoplasm in Korean Population.,https://clinicaltrials.gov/study/NCT03974971,COMPLETED,Blastic Plasmacytoid Dendritic Cell Neoplasm,,Samsung Medical Center,,OBSERVATIONAL,2020-02-29
NCT00766753,Vaccination-Dendritic Cells With Peptides for Recurrent Malignant Gliomas,https://clinicaltrials.gov/study/NCT00766753,COMPLETED,Malignant Glioma,BIOLOGICAL: Dendritic vaccine pulsed with multiple peptides|BIOLOGICAL: The first booster vaccine phase:|BIOLOGICAL: The second booster vaccine phase:,Frank Lieberman,"Oncovir, Inc.",INTERVENTIONAL,2016-06
NCT03879512,"Autologous Dendritic Cells, Metronomic Cyclophosphamide and Checkpoint Blockade in Children With Relapsed HGG",https://clinicaltrials.gov/study/NCT03879512,COMPLETED,Childhood Glioblastoma,DRUG: depletion of regulatory T cells|PROCEDURE: reoperation|BIOLOGICAL: cancer vaccine|BIOLOGICAL: checkpoint blockade,Wuerzburg University Hospital,,INTERVENTIONAL,2024-07-31
NCT03697707,"Efficacy and Safety of Immunotherapy With Allogeneic Dendritic Cells, DCP-001, in Patients With Acute Myeloid Leukaemia",https://clinicaltrials.gov/study/NCT03697707,ACTIVE_NOT_RECRUITING,Acute Myeloid Leukemia in Remission,BIOLOGICAL: DCP-001,Mendus,"Amsterdam UMC, location VUmc",INTERVENTIONAL,2025-12
NCT03360708,Vaccine Therapy in Treating Patients With Recurrent Glioblastoma,https://clinicaltrials.gov/study/NCT03360708,COMPLETED,Giant Cell Glioblastoma|Recurrent Glioblastoma|Recurrent Gliosarcoma,OTHER: Laboratory Biomarker Analysis|BIOLOGICAL: Malignant Glioma Tumor Lysate-Pulsed Autologous Dendritic Cell Vaccine,Mayo Clinic,,INTERVENTIONAL,2021-06-02
NCT02692976,Natural Dendritic Cells for Immunotherapy of Chemo-naive Metastatic Castration-resistant Prostate Cancer Patients,https://clinicaltrials.gov/study/NCT02692976,COMPLETED,Prostatic Neoplasms|Immunotherapy|Dendritic Cells|Vaccines,BIOLOGICAL: mDC vaccination|BIOLOGICAL: pDC vaccination|BIOLOGICAL: mDC and pDC vaccination,Radboud University Medical Center,,INTERVENTIONAL,2019-03-06
NCT03942328,Modified Immune Cells (Autologous Dendritic Cells) and a Vaccine (Prevnar) After High-Dose External Beam Radiation Therapy in Treating Patients With Unresectable Liver Cancer,https://clinicaltrials.gov/study/NCT03942328,RECRUITING,Stage III Hepatocellular Carcinoma AJCC v8|Stage III Intrahepatic Cholangiocarcinoma AJCC v8|Stage IV Hepatocellular Carcinoma AJCC v8|Stage IV Intrahepatic Cholangiocarcinoma AJCC v8|Unresectable Hepatocellular Carcinoma|Unresectable Intrahepatic Cholangiocarcinoma,BIOLOGICAL: Atezolizumab|BIOLOGICAL: Bevacizumab|RADIATION: External Beam Radiation Therapy|PROCEDURE: Pheresis|BIOLOGICAL: Pneumococcal 13-valent Conjugate Vaccine|BIOLOGICAL: Therapeutic Autologous Dendritic Cells,Mayo Clinic,National Cancer Institute (NCI),INTERVENTIONAL,2028-02-29
NCT00515983,Vaccination of Melanoma Patients With Dendritic Cells Loaded With Allogeneic Apoptotic-Necrotic Melanoma Cells,https://clinicaltrials.gov/study/NCT00515983,COMPLETED,Melanoma,BIOLOGICAL: DC/Apo-Nec,"José Mordoh, M.D., Ph.D.",,INTERVENTIONAL,2005-12
NCT02896543,The Relationship of Change of Dendritic Cells Fractalkine and P-selectin Patients With Acute Myocardial Infarction,https://clinicaltrials.gov/study/NCT02896543,COMPLETED,Acute Myocardial Infarction,OTHER: measurement,The First Affiliated Hospital of Dalian Medical University,,OBSERVATIONAL,2017-03
NCT04968366,Safety & Efficacy of DC Vaccine and TMZ for the Treatment of Newly-diagnosed Glioblastoma After Surgery,https://clinicaltrials.gov/study/NCT04968366,ACTIVE_NOT_RECRUITING,Glioblastoma Multiforme of Brain,BIOLOGICAL: Autologous dendritic cells pulsed with multiple neoantigen peptides.|DRUG: Temozolomide adjuvant chemotherapy,Beijing Tiantan Hospital,ZhongSheng BioTech Inc.,INTERVENTIONAL,2024-12-31
NCT02767193,Safety and Immunogenicity of a Vaccine Dendritic Cell-based Pulsed With Autologous Heat-inactivated in HIV-1 Infected Patients,https://clinicaltrials.gov/study/NCT02767193,COMPLETED,HIV Infection,BIOLOGICAL: DCV3|BIOLOGICAL: DCV3 with PEG-INF|BIOLOGICAL: Placebo|BIOLOGICAL: Placebo with PEG-INF,Judit Pich Martínez,,INTERVENTIONAL,2019-05-22
NCT00630721,Characterization of Interferon Beta -1b-Induced Tolerizing Effect in Dendritic Cells,https://clinicaltrials.gov/study/NCT00630721,COMPLETED,Multiple Sclerosis,OTHER: IFNbeta-1b,"University of North Carolina, Chapel Hill",,INTERVENTIONAL,2011-03-15
NCT06152367,Immunization With Autologous Dendritic Cells and Tumor Lysates in Melanoma Patients,https://clinicaltrials.gov/study/NCT06152367,COMPLETED,Stage III Malignant Melanoma of Skin AJCC V6|Stage IV Malignant Melanoma of Skin,BIOLOGICAL: TAPCells vaccine,University of Chile,,INTERVENTIONAL,2004-10-09
NCT02661685,Safety Study of Adoptive Transfer of Autologous IKDC-like Cells,https://clinicaltrials.gov/study/NCT02661685,COMPLETED,Neoplasm Metastasis,BIOLOGICAL: autologous IKDC-like cells,"National Defense Medical Center, Taiwan","Ministry of Science and Technology, Taiwan|Academia Sinica, Taiwan",INTERVENTIONAL,2019-10
NCT02993302,Effects Of Oral Alfacalcidol On Maturation Of Dendritic Cells In Graves' Disease Patients,https://clinicaltrials.gov/study/NCT02993302,COMPLETED,Graves Disease,DRUG: 1α-D3|DRUG: Placebos,Dr Cipto Mangunkusumo General Hospital,Indonesia University,INTERVENTIONAL,2015-03
NCT02111941,"Vaccine Therapy for Patients With Stage IIIC-IV Ovarian Epithelial, Fallopian Tube, or Primary Peritoneal Cavity Cancer",https://clinicaltrials.gov/study/NCT02111941,ACTIVE_NOT_RECRUITING,Fallopian Tube Clear Cell Adenocarcinoma|Fallopian Tube Endometrioid Tumor|Fallopian Tube Mucinous Neoplasm|Fallopian Tube Serous Neoplasm|Fallopian Tube Transitional Cell Carcinoma|Ovarian Clear Cell Cystadenocarcinoma|Ovarian Endometrioid Adenocarcinoma|Ovarian Mucinous Cystadenocarcinoma|Ovarian Seromucinous Carcinoma|Ovarian Serous Cystadenocarcinoma|Ovarian Transitional Cell Carcinoma|Primary Peritoneal Serous Adenocarcinoma|Recurrent Fallopian Tube Carcinoma|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma|Stage IIIC Fallopian Tube Cancer|Stage IIIC Ovarian Cancer|Stage IIIC Primary Peritoneal Cancer|Stage IV Fallopian Tube Cancer|Stage IV Ovarian Cancer|Stage IV Primary Peritoneal Cancer|Undifferentiated Fallopian Tube Carcinoma|Undifferentiated Ovarian Carcinoma,OTHER: Laboratory Biomarker Analysis|BIOLOGICAL: Multi-epitope Folate Receptor Alpha-loaded Dendritic Cell Vaccine,Mayo Clinic,,INTERVENTIONAL,2025-06-30
NCT02574377,myDC/pDC in Stage III Melanoma Patients,https://clinicaltrials.gov/study/NCT02574377,COMPLETED,Melanoma,DRUG: A: myDC vaccination|DRUG: B: pDC vaccination|DRUG: C: combined myDC/pDC vaccination,Radboud University Medical Center,,INTERVENTIONAL,2021-09
NCT00493597,Blood Endothelium Progenitor Cells and Dendritic Cells as Predictive Biomarkers of In-stent Restenosis,https://clinicaltrials.gov/study/NCT00493597,COMPLETED,Atherosclerosis|Restenosis,,"University Hospital, Antwerp",,OBSERVATIONAL,2020-10-26
NCT00003665,Vaccine Therapy in Treating Patients With Stage IV Melanoma,https://clinicaltrials.gov/study/NCT00003665,COMPLETED,Melanoma (Skin),BIOLOGICAL: dendritic cell-MART-1 peptide vaccine|BIOLOGICAL: gp100 antigen|BIOLOGICAL: therapeutic tumor infiltrating lymphocytes|BIOLOGICAL: tyrosinase peptide,National Cancer Institute (NCI),,INTERVENTIONAL,2002-11
NCT00510133,A Study of Active Immunotherapy With GRNVAC1 in Patients With Acute Myelogenous Leukemia (AML),https://clinicaltrials.gov/study/NCT00510133,COMPLETED,Acute Myelogenous Leukemia,BIOLOGICAL: GRNVAC1,"Asterias Biotherapeutics, Inc.",,INTERVENTIONAL,2014-08
NCT00908362,Impact of Fluticasone and Salmeterol on Airway Dendritic Cells (DCs) in Smokers,https://clinicaltrials.gov/study/NCT00908362,COMPLETED,Smoke-related Lung Diseases|Chronic Obstructive Pulmonary Disease,DRUG: fluticasone|DRUG: fluticasone/salmeterol|DRUG: placebo,University of Rostock,GlaxoSmithKline,INTERVENTIONAL,2009-12
NCT03371485,AST-VAC2 Vaccine in Patients With Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT03371485,COMPLETED,Advanced Non-small Cell Lung Cancer,BIOLOGICAL: AST-VAC2,Cancer Research UK,,INTERVENTIONAL,2022-08-08
NCT00197522,Administration of Autologous Dendritic Cells (DCs) Infected With an Adenovirus Expressing Her-2,https://clinicaltrials.gov/study/NCT00197522,COMPLETED,Breast Neoplasms,BIOLOGICAL: CD34+ derived DCs,Hamilton Health Sciences Corporation,Ontario Cancer Research Network|Canadian Breast Cancer Research Alliance|McMaster University,INTERVENTIONAL,2012-05
NCT00923910,Wilm's Tumor 1 Protein Vaccine to Treat Cancers of the Blood,https://clinicaltrials.gov/study/NCT00923910,COMPLETED,"Leukemia, Acute Myelogenous (AML)|Leukemia, Acute Lymphocytic (ALL)|Leukemia, Chronic Myelogenous (CML)|Myelodysplastic Syndrome (MDS)|Non-Hodgkin's Lymphoma (NHL)",DRUG: WT1 Peptide-Pulsed Dendritic Cells|DRUG: Donor Lymphocytes|DRUG: IL-4|DRUG: KLH|DRUG: WT1 Peptides|DRUG: Endotoxin|DRUG: Diphenhydramine|DRUG: Acetaminophen,National Cancer Institute (NCI),,INTERVENTIONAL,2016-11-15
